"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434"
"1",369.746075,369.820625,370.90735,370.997375,371.069075,371.6849,371.823375,371.956,372.0195,372.21075,372.356225,373.3817,373.553725,373.639425,373.79455,373.84245,373.89595,373.943475,374.02745,374.10125,374.21405,374.5332,374.621325,374.756475,374.88995,374.955025,375.082675,377.913675,380.2092,380.37895,380.576175,380.666225,380.86905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",370.993525,371.029225,371.10995,371.163175,371.3659,371.497625,371.531575,371.64475,371.676375,371.700975,371.734325,371.767,371.83855,371.872175,371.933875,371.9992,372.4624,372.5758,372.677975,372.86,372.9786,373.0245,373.04395,373.0772,373.094525,373.18,373.301225,373.439625,373.49565,373.547375,374.509075,374.5933,374.66465,374.763625,374.8002,375.408075,375.5597,375.680675,375.703125,375.729975,375.764225,375.779375,375.790075,375.83635,375.9177,375.95445,375.97305,376.030225,376.092225,376.1576,377.461225,377.50165,377.5564,377.575975,377.610425,377.630525,377.656075,377.723675,377.86285,377.903375,378.470025,378.52725,378.61635,378.74015,378.811125,378.908175,379.7205,379.789525,379.844475,379.917325,379.9544,380.048675,380.11995,380.16365,380.228025,380.3318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",369.5099,369.52065,369.5283,369.543075,369.56995,370.238275,370.3057,370.39465,370.53905,370.54805,370.699175,370.732175,370.774375,370.82725,370.915975,370.9557,370.9876,371.005125,371.0114,371.017025,371.025,371.054825,371.0703,371.0781,371.1245,371.125925,371.15205,371.19665,371.2056,371.259375,371.2847,371.305125,371.31075,371.3324,371.356325,371.4734,371.4791,371.504175,371.592075,371.626675,371.6432,371.657575,371.667125,371.68535,371.7071,371.721575,371.743225,371.769525,371.835425,371.844625,371.8554,371.8627,371.889375,371.89875,371.9596,371.980475,371.989475,372.033925,372.05385,372.0746,372.090475,372.121675,372.1374,372.1991,372.36575,372.427725,372.437025,372.484375,372.50175,372.5444,372.5602,372.573025,372.654825,372.67855,372.7003,372.73845,372.75265,372.788475,372.8147,372.855575,372.880125,372.88975,372.8997,372.915225,372.940375,372.982425,373.02575,373.0563,373.091875,373.103525,373.1494,373.17545,373.18735,373.2074,373.219375,373.235125,373.242425,373.2819,373.306475,373.31635,373.35965,373.368475,373.40655,373.414625,373.469925,373.501375,373.508275,373.51565,373.5293,373.54685,373.57655,373.65365,373.695625,373.765875,373.80205,374.372325,374.3849,374.4656,374.48615,374.54165,374.5763,374.598,374.6052,374.649575,374.67365,374.786925,374.799175,374.82945,374.8513,374.9154,374.9274,374.966,375.283875,375.302125,375.334525,375.4276,375.4392,375.4691,375.47825,375.4945,375.498925,375.51295,375.526325,375.53165,375.549025,375.57555,375.604375,375.615325,375.6897,375.726525,375.7992,375.81445,375.84815,375.85385,375.903625,375.922425,375.99135,376.02075,376.03375,376.040225,376.07975,376.087725,376.1761,376.190175,376.2231,376.2718,376.332925,376.33655,376.4904,376.56695,376.660725,376.80865,376.86045,377.0304,377.177975,377.2069,377.22565,377.251225,377.254625,377.349875,377.390025,377.419325,377.45065,377.5441,377.550625,377.566875,377.626525,377.642425,377.649675,377.659925,377.6749,377.684,377.691975,377.7016,377.8652,377.936975,378.026725,378.0828,378.14625,378.5946,378.771725,379.3646,379.411825,379.42405,379.48735,379.550525,379.6725,379.710925,379.8404,379.9559,379.964225,380.251075,380.2712,380.2932,380.31135,380.3624,380.479825,380.8999,381.5773,383.060425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",370.1929,370.531375,370.557875,370.612975,370.6445,370.700325,370.78205,370.843575,370.884375,370.917625,370.950075,370.985325,371.021975,371.160675,371.319375,371.401075,371.43,371.4602,371.5269,371.5592,371.67285,371.735675,371.867075,371.8881,371.90935,372.011425,372.06175,372.0975,372.141675,372.2165,372.269525,372.331275,372.433525,372.49105,372.536075,372.7319,372.798575,372.84305,372.887925,372.969925,373.0122,373.05785,373.093275,373.17035,373.2378,373.275625,373.330725,373.44825,373.505975,373.67775,373.7331,373.88915,374.2107,374.344925,374.40615,374.448425,374.483625,374.528025,374.563775,374.60975,374.643725,374.686575,374.74215,374.82555,374.931925,375.16465,375.219925,375.270775,375.338175,375.380225,375.41995,375.4654,375.505575,375.555575,375.59285,375.806725,375.906525,376.109675,376.188875,376.2295,376.26155,376.319825,376.365125,376.4285,376.46815,376.506475,376.553075,376.6764,376.74725,376.801875,376.869275,376.915025,376.965925,377.008525,377.043475,377.117775,377.1601,377.1956,377.227025,377.261,377.309175,377.4232,377.5748,377.61325,377.7683,377.844025,377.941425,377.977075,378.014225,378.080975,378.12425,378.17465,378.2632,378.341825,378.7673,378.935325,379.013575,379.08865,379.177575,379.25615,379.294575,379.3411,379.38965,379.4535,379.513375,379.62695,379.749275,379.941125,380.017375,380.181675,380.258125,380.3272,380.431375,380.499025,380.63275,380.8114,380.932925,381.051825,381.95725,382.366825,382.498325,382.7958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",376.887275,376.988,379.063875,380.964325,381.090525,381.433075,381.51105,381.55645,381.630625,381.685875,381.704325,381.740125,381.789275,381.824625,381.84615,381.8914,381.913025,381.934225,381.96545,381.99575,382.022625,382.057925,382.093675,382.114875,382.14995,382.1799,382.21345,382.250425,382.28795,382.327125,382.386075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",368.072225,369.535725,369.5877,369.637225,369.70405,369.79925,369.869575,369.901625,369.95695,369.96415,370.012925,370.05165,370.1132,370.16615,370.19925,370.3162,370.502425,370.825425,370.952425,371.014,371.13545,371.23965,371.3768,371.857475,371.91895,371.9675,372.047725,372.087575,372.1189,372.12895,372.1467,372.1761,372.19225,372.21135,372.233875,372.264775,372.28545,372.3124,372.35265,372.395675,372.52835,372.65105,372.88495,373.041675,373.138575,373.24045,373.287025,373.378975,373.534775,373.5594,373.57225,373.5946,373.637925,373.649475,373.6794,373.700275,373.705475,373.743925,373.7893,373.851925,373.87845,373.914475,373.9407,373.99595,374.05455,374.1149,374.190875,374.210125,374.26545,374.701125,374.893475,374.982875,375.110175,375.767575,375.841325,376.0812,376.1805,376.198475,376.2247,376.2503,376.28825,376.313775,376.3371,376.352925,376.3743,376.3974,376.4129,376.429375,376.4489,376.46465,376.479175,376.501275,376.546075,376.570675,376.631525,376.6696,376.730225,376.774475,376.854275,376.90205,376.9554,377.80775,377.958625,377.984325,378.005125,378.021525,378.02955,378.0442,378.05435,378.073475,378.0889,378.098425,378.129925,378.15315,378.15965,378.1731,378.1892,378.198375,378.205325,378.240225,378.27615,378.283125,378.35435,378.438725,378.989625,380.141475,380.2006,380.244875,380.27855,380.31375,380.344675,380.36035,380.375925,380.396775,380.444775,380.4605,380.4889,380.500075,380.51565,380.531025,380.5561,380.5799,380.5921,380.6154,380.627825,380.654925,380.664375,380.687475,380.755425,380.767175,380.8,380.821625,380.842475,380.867225,380.889375,380.9169,380.94615,381.00835,381.0556,381.1231,381.164475,381.1976,381.25445,381.306775,381.349125,381.381425,381.462525,381.497525,381.549075,381.64335,381.687175,381.722875,381.783925,381.8645,381.922875,381.9981,383.021975,383.31425,385.86025,386.183375,387.504975,387.889625,388.170125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",369.661425,369.754825,369.88405,369.991725,370.043675,370.1015,370.2579,370.349925,370.446325,370.69795,371.1731,371.289025,371.360225,371.448725,372.245375,372.672825,373.157975,373.62575,373.812575,374.01665,374.085875,374.32295,375.278175,375.4027,376.11225,376.252575,376.444375,376.5956,376.876575,377.2028,378.366425,378.549225,378.743275,379.38415,380.2627,380.5437,380.771025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",373.774375,373.942225,374.009175,374.08215,374.1682,374.22695,374.317425,374.402475,375.130075,378.96055,380.85755,381.06965,381.134975,381.205925,381.28745,381.3717,381.482575,381.526075,381.6068,381.711375,381.777475,381.851425,381.9324,382.078175,382.1668,382.312725,382.485925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",372.860875,373.233575,373.498475,373.6026,374.636575,374.843275,375.3075,375.397175,375.557975,376.2125,376.291375,376.499775,376.8062,376.9356,377.010225,377.1141,377.2127,377.3266,377.957475,378.05945,378.163425,378.31025,378.874625,379.0415,379.236525,379.338525,379.75565,380.103925,380.235975,380.372775,380.424925,380.509225,380.565525,380.642275,380.793425,382.168775,382.3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
