"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399"
"1",211.1107,211.180275,211.285075,211.9205,212.008775,212.15295,212.487075,212.556125,213.392775,213.50735,213.617575,213.78085,214.0235,214.584225,214.840075,215.3658,215.426175,215.6099,216.462675,221.85885,221.972625,222.008975,222.1261,222.20215,222.33335,222.490075,222.5621,222.639475,226.0703,226.5342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",211.981375,212.07005,212.1934,212.230125,212.347275,213.1322,213.21435,213.30695,213.3439,213.3747,213.406775,213.481225,213.518525,214.4198,214.61165,214.661525,214.722,214.76535,214.8184,214.902325,214.9614,215.1344,215.264375,215.334575,215.47905,216.0479,216.235775,216.2771,216.3106,216.37995,216.457,216.50545,216.62505,218.1227,218.2697,218.297075,218.38395,218.42445,218.50705,221.828225,221.9016,221.940775,221.98215,222.04965,222.17955,222.206125,222.237575,222.29805,222.344525,222.3799,222.4276,222.44235,222.4823,222.51955,222.552625,222.59115,222.625975,222.719125,225.91015,226.035675,226.25625,226.5293,227.123325,227.18955,227.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",211.417175,212.43025,212.638475,213.43915,216.42185,219.110225,223.168875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",209.509675,209.522025,209.558825,210.067925,210.1743,210.361175,210.593725,210.776075,210.822675,210.858925,210.87745,211.007475,211.018975,211.04575,211.079475,211.138025,211.161725,211.174,211.23015,211.2597,211.2715,211.3241,211.328975,211.376125,211.405325,211.514425,211.5491,211.577075,211.68045,211.6919,211.7035,211.730025,211.758975,211.769575,211.78305,211.791525,211.806325,211.81455,211.8298,211.85615,211.883625,211.8914,211.9022,211.920925,211.9293,211.948725,211.9626,211.97375,212.00295,212.039975,212.047,212.06785,212.082125,212.094875,212.13635,212.16195,212.18205,212.22195,212.240425,212.25235,212.271,212.284275,212.3164,212.326,212.3368,212.3767,212.38155,212.414025,212.4506,212.46895,212.510325,212.55425,212.5782,212.59935,212.65415,213.0146,213.029125,213.064425,213.125125,213.139825,213.16935,213.1888,213.197225,213.20875,213.249475,213.2576,213.28345,213.295975,213.348525,213.3682,213.397025,213.41265,213.43155,213.46295,213.474025,213.4949,213.505125,213.512125,213.5326,213.5406,213.575425,213.5981,213.6161,213.63005,213.642975,213.660625,213.6816,213.721,213.74025,213.847375,214.338,214.345625,214.449125,214.474325,214.499075,214.52045,214.542675,214.577375,214.642875,214.664375,214.7139,214.744475,214.75555,214.770725,214.7894,214.849925,214.90305,214.940875,214.97,214.994175,215.074625,215.12245,215.18735,215.209275,215.246725,215.274075,215.341725,215.475275,215.952925,216.01605,216.122875,216.158375,216.182375,216.216175,216.242825,216.2572,216.293925,216.33065,216.3549,216.3896,216.402025,216.4365,216.4468,216.476475,216.508475,216.5164,216.5387,216.572125,216.59505,216.648725,216.70295,216.751475,216.920275,216.943725,217.083775,217.7942,217.8659,217.902775,217.92305,217.933125,217.956225,217.9969,218.02725,218.0409,218.069875,218.115975,218.1369,218.15605,218.1673,218.19745,218.20485,218.214,218.231975,218.278875,218.303125,218.37845,218.419325,218.436625,218.49475,218.525775,218.545575,218.616375,218.648075,218.696625,218.715825,219.083275,219.358425,219.4307,219.885975,219.91025,219.972575,220.0399,220.05705,220.0859,220.12125,220.141875,220.17705,220.304375,222.044025,222.105875,222.13415,222.1543,222.175475,222.195075,222.215175,222.238875,222.2618,222.2933,222.320425,222.36315,222.3904,222.43065,222.443575,222.4873,222.659025,222.724275,222.7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",210.07835,210.32035,210.430475,210.52465,210.5559,210.599225,210.63775,210.685,210.75955,210.827375,210.890525,210.933,211.042575,211.0737,211.55895,211.606175,211.656225,211.776625,211.9456,212.1137,212.308475,212.3953,212.826775,212.897275,212.9365,212.9946,213.032775,213.108325,213.184625,213.56855,214.0625,214.230875,214.306475,214.4371,214.494525,214.5267,214.5605,214.627775,214.775,214.942425,215.059475,215.107625,215.5147,215.829,215.8721,215.922225,215.97475,216.01225,216.09955,216.1406,216.291375,216.529725,216.61665,216.930475,217.062825,217.206825,217.304925,217.464175,217.517325,217.567975,217.6102,217.6658,217.70775,217.7614,217.842725,217.87775,217.929,218.0042,218.23625,218.31345,218.397325,218.452575,218.50595,218.55355,218.5933,218.639,218.679225,218.782125,218.9014,219.15895,219.262625,219.33465,219.3891,219.53945,219.61795,219.69595,219.74135,219.82305,220.18505,220.274125,220.5415,220.6523,220.763575,220.9467,221.158975,221.2427,221.405975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",219.170925,219.32125,219.356925,219.40245,219.4512,219.48745,220.823125,220.885425,220.92905,221.0649,221.1005,221.145775,221.1826,221.235525,221.299825,221.36895,222.10995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",209.52825,209.569925,209.612125,209.66545,209.8022,209.8987,209.928275,209.99695,210.07275,210.159475,210.2938,210.37095,210.50955,210.9171,210.99195,211.063775,211.121625,211.264525,211.298525,211.33655,211.365025,211.520625,211.81735,211.881375,211.9411,212.017,212.08345,212.16225,212.20055,212.34145,212.397325,212.4621,212.56595,212.615,212.677475,212.70985,212.778,212.804525,212.8564,213.227825,213.366375,213.4539,213.543675,213.605,213.665125,213.70335,213.7373,213.794675,213.81115,213.84335,213.879925,213.9028,213.94875,213.988725,214.0545,214.074975,214.10155,214.14025,214.50595,214.569275,214.7186,214.7825,214.854125,214.928225,214.94985,215.1199,215.1597,215.196925,215.2945,215.459975,215.54095,215.588475,215.607,215.7013,215.739975,216.162325,216.248475,216.320875,216.42255,216.4704,216.585925,216.661225,216.69235,216.739925,216.764375,216.785525,216.80735,216.8207,216.84555,216.872525,216.89855,216.92415,217.002975,217.02975,217.0353,217.104975,217.1489,217.188725,217.215175,217.254125,217.29515,217.323025,217.344575,217.3837,217.467375,218.3448,218.514225,218.590875,218.5978,218.620925,218.647475,218.6677,218.6729,218.757475,218.8054,218.83435,218.860375,218.904325,218.937025,218.974075,218.9858,219.0256,219.068625,219.1631,219.240875,219.337075,219.4603,220.067275,220.258775,220.382025,220.45935,220.6336,220.659275,220.7266,220.8316,220.877675,220.965025,221.046825,221.0926,221.224425,221.343575,221.857975,221.9804,222.282725,222.50765,222.681675,222.777575,222.84485,222.922825,223.013075,223.03315,223.10715,223.26295,223.3771,223.41965,223.602225,223.68175,223.807275,223.990425,224.154775,224.34375,224.862725,226.089225,227.16855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",209.54495,209.88605,210.036575,210.1965,210.506375,210.56,210.63485,211.196375,211.3526,211.442175,211.49895,212.76825,212.887325,213.700075,214.180475,214.36005,214.898475,215.04105,215.2518,215.65555,215.71105,215.816525,215.876525,216.039175,216.4924,216.781475,216.80085,216.886225,217.099825,217.213525,217.402725,217.526125,217.607,217.69815,218.230425,218.51775,218.677975,219.315125,219.5206,231.939575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",213.9127,213.94345,214.1046,214.145025,214.20115,214.278775,215.429275,215.56095,215.6172,215.68065,215.7924,215.862975,215.946525,217.102925,217.169075,217.25285,217.314225,217.38115,217.4244,217.4584,218.921525,219.18585,219.271675,219.410175,219.47625,219.541025,219.602225,220.4151,220.462575,220.56745,220.61185,220.717875,220.7601,220.81455,220.865225,220.91765,221.0545,221.142225,221.21435,221.29205,221.401275,221.543925,223.058525,223.1825,223.240575,223.317675,223.40155,223.466575,223.5272,223.604525,223.712125,223.87055,224.032675,224.124325,224.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",211.541925,217.724325,219.481275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
