"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366"
"1",251.33945,251.400475,251.544125,252.33595,252.399625,252.4556,252.55065,252.588725,252.644025,252.91705,253.015425,253.645575,254.001175,254.0695,254.1708,254.2401,254.34015,254.4108,254.54925,254.619375,255.0968,255.32045,256.0178,260.8087,263.56215,263.6274,263.7443,263.822825,263.973275,264.133625,264.221825,264.287875,264.351375,264.42235,264.594675,264.740825,264.850825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",252.3141,252.423275,252.53945,252.6071,253.1022,253.38395,253.517175,253.5832,253.660575,253.699,253.752975,253.78445,253.856075,253.905475,253.933925,254.9659,255.036175,255.093725,255.271675,255.378875,256.83445,256.86595,256.9112,257.0293,257.095075,257.132275,258.598075,258.65665,258.773275,258.804425,258.8814,259.897025,260.570225,260.7206,260.75025,260.817775,260.867875,260.98185,261.03765,261.319975,263.73115,263.815525,263.9097,263.9704,264.007175,264.104075,264.135775,264.167875,264.20645,264.24985,264.277775,264.310525,264.343075,264.3736,264.4159,264.450225,264.48185,264.519325,264.538375,264.5586,264.58625,264.624525,264.655625,264.701225,264.775875,264.8011,264.85765,264.908175,264.95065,265.017975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",253.9538,260.0119,260.736075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",249.52155,249.536575,250.002425,250.364175,250.43755,250.570975,250.6018,250.874975,250.958625,250.9643,251.063625,251.141825,251.20645,251.223675,251.275775,251.3188,251.352875,251.3889,251.41935,251.44695,251.47975,251.48745,251.49415,251.51155,251.517775,251.528825,251.5658,251.625225,251.656225,251.68305,251.8964,251.94425,251.986975,251.99435,252.0203,252.04045,252.1273,252.137975,252.1795,252.194525,252.214075,252.2233,252.2261,252.237425,252.248725,252.27375,252.279475,252.320375,252.364625,252.3907,252.41125,252.430775,252.462075,252.46345,252.48345,252.489925,252.524075,252.530875,252.537075,252.5438,252.555325,252.572625,252.60255,252.707525,252.83415,252.846275,252.88135,252.9317,253.015925,253.128,253.353975,253.38535,253.4102,253.419225,253.455675,253.477575,253.4965,253.511775,253.5159,253.5688,253.586975,253.670925,253.728475,253.7683,253.774675,253.8024,253.812025,253.840475,253.854575,253.876225,253.8844,253.894275,253.926175,253.985925,253.9955,254.016975,254.023175,254.066425,254.13945,254.147225,254.15535,254.216925,254.8115,254.818325,254.839275,254.928025,254.938275,254.961425,254.9739,254.995825,255.02125,255.070025,255.1172,255.141425,255.159525,255.258775,255.2685,255.288,255.358675,255.423825,255.481225,255.506875,255.5211,255.551825,255.6094,255.6314,255.642425,255.711325,255.7996,256.261225,256.399925,256.47575,256.509125,256.62925,256.644075,256.667675,256.728975,256.749275,256.7611,256.80995,256.839025,256.9239,256.9355,256.954975,256.992575,257.0206,257.0579,257.130525,257.1704,257.23635,257.284775,257.368125,257.392825,257.43185,257.439075,257.46135,257.464325,257.484325,257.5587,257.666025,257.74875,257.87855,258.40045,258.4516,258.4823,258.5023,258.538425,258.55635,258.57425,258.583925,258.606825,258.634925,258.672875,258.6904,258.706025,258.79185,258.860325,258.972475,259.000325,259.261375,259.377025,259.89195,260.527775,260.5809,260.6456,260.76725,260.855125,260.9236,260.973975,262.047575,263.968575,264.012575,264.1306,264.193075,264.204725,264.234775,264.2636,264.283425,264.302225,264.44115,264.486425,264.631075,264.7949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",250.5803,250.6771,250.939275,251.041975,251.1339,251.217325,251.27865,251.33015,251.3946,251.475725,251.513025,251.604375,251.6717,251.791275,251.84155,251.931675,251.95505,252.0188,252.090025,252.17505,252.26645,252.396175,252.5663,252.660825,252.8026,253.038975,253.166425,253.241325,253.327725,253.36555,253.39885,253.425475,253.46255,253.504375,253.54405,253.567225,253.6488,253.748725,253.799,253.903275,253.962175,254.03055,254.086875,254.323475,254.46055,254.6006,254.64605,254.76985,254.816525,254.86345,254.91195,254.940575,255,255.038025,255.060725,255.1228,255.15185,255.2349,255.34125,255.4362,255.537325,255.57215,255.635275,255.704425,255.771625,255.834825,255.917875,255.971375,256.033575,256.208175,256.302225,256.34845,256.39665,256.453075,256.4951,256.5312,256.56525,256.606225,256.656375,256.69385,256.728,256.7784,256.978875,257.042,257.154575,257.26475,257.32295,257.377575,257.4226,257.589175,257.668175,257.811575,257.875075,257.990975,258.044125,258.11185,258.17545,258.210425,258.23925,258.27655,258.311825,258.343875,258.3729,258.4433,258.484075,258.60575,258.72155,258.799275,258.876775,258.91065,258.983025,259.0638,259.128225,259.329925,259.398625,259.478475,259.558375,259.66005,259.7436,259.824,259.968425,260.056475,260.107975,260.170825,260.241,260.332975,260.463925,260.95685,261.12435,261.225775,261.84225,261.957,262.3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",256.46615,258.021675,258.084975,259.650825,259.7163,259.750475,259.787625,259.848975,259.943325,260.095425,261.72065,261.8435,261.947525,261.9911,262.049375,262.116675,262.178375,262.215475,262.32905,262.400325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",249.531425,249.602125,249.7007,249.86085,249.930125,250.001025,250.110475,250.31575,250.5011,250.577775,250.678675,251.0528,251.104525,251.16385,251.2354,251.277125,251.3625,251.3931,251.452875,251.661525,251.7068,251.73305,251.7951,251.82945,252.613875,252.6709,252.7283,252.742975,252.762475,252.796075,252.8643,252.941725,252.952575,253.037725,253.1496,253.191075,253.3096,253.4913,253.55425,253.611425,253.850675,254.0955,254.156325,254.200825,254.2558,254.274225,254.299375,254.3386,254.355025,254.366025,254.38235,254.41375,254.428975,254.463825,254.474125,254.490575,254.5002,254.5686,254.606225,254.72785,254.758125,254.987475,255.121525,255.349075,255.436875,255.543575,255.66315,255.687775,255.750175,255.81715,255.8629,255.8766,255.97225,256.0439,256.13065,256.1608,256.20755,256.2426,256.298625,256.362175,256.8133,256.959,257.043175,257.233975,257.271375,257.299875,257.3241,257.336575,257.406975,257.438075,257.449675,257.46655,257.4913,257.52035,257.53125,257.563275,257.57495,257.590325,257.6336,257.68165,257.7083,257.733075,257.75605,257.7828,257.8174,257.845225,257.88365,257.996375,258.048375,258.098975,258.166225,258.633375,258.697575,258.8432,258.93665,259.0399,259.077625,259.10075,259.117525,259.14105,259.1702,259.1963,259.21255,259.22895,259.254025,259.309075,259.33895,259.394575,259.4245,259.4596,259.489525,259.534375,259.569975,259.6242,259.6576,259.760225,259.81715,259.860725,260.658525,260.8298,261.06625,261.269725,261.33685,261.41925,261.52375,261.583475,261.65515,261.756075,261.862275,261.965625,262.16475,264.3064,264.679275,265.086975,276.687725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",249.638525,249.80545,249.915975,250.0331,250.265375,250.4066,250.5404,250.68165,250.758425,251.31585,251.533625,251.574825,251.754775,251.83905,251.9584,252.0607,252.2722,253.409075,254.14845,254.587725,254.916425,255.292675,255.460375,255.53415,255.641325,255.81355,256.35905,256.480875,257.055075,257.129075,257.219375,257.2567,257.396075,257.511875,257.683475,257.86145,257.992,258.17155,258.3166,258.946075,259.073675,259.26565,259.345025,259.43335,259.69045,259.79945,261.5535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",254.26435,254.483975,255.8496,256.073625,256.14045,256.272725,256.5668,257.658025,257.719825,257.9192,257.9882,259.426375,259.5173,259.734425,259.7944,259.8806,259.937625,260.088,261.325175,261.4034,261.493775,261.62645,261.6897,261.7588,261.8295,261.934325,261.988175,262.146575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",255.525575,255.755775,256.584275,257.448225,258.0456,258.3077,260.0479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
